treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
tuteur	5	3	0	0	0	0	0	0	0	0	NA	0	NA	0	NA
tuteur	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1
tuteur	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0
tuteur	5	6	0	0	0	0	1	1	NA	NA	NA	NA	NA	0	NA
tuteur	5	7	0	0	0	0	0	1	1	0	1	1	1	1	1
tuteur	5	8	0	0	0	0	0	1	1	0	1	1	1	1	1
tuteur	5	9	0	0	0	1	1	1	1	0	1	1	1	1	1
tuteur	5	10	0	0	0	0	0	0	0	0	0	0	1	NA	0
tuteur	5	11	0	1	1	1	1	1	1	1	1	1	1	1	1
tuteur	5	12	0	0	0	1	0	1	1	1	1	1	1	1	1
tuteur	5	13	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
tuteur	5	14	0	0	0	0	0	0	1	1	1	1	2	1	2
tuteur	6	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	6	2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	6	3	0	0	0	0	0	0	NA	0	NA	NA	NA	0	NA
tuteur	6	4	0	0	0	0	0	0	1	0	1	1	1	2	1
tuteur	6	5	0	0	0	0	0	0	0	1	1	1	1	NA	NA
tuteur	6	6	0	0	0	0	1	0	1	0	1	1	1	1	1
tuteur	6	7	0	0	0	0	0	1	1	0	1	0	1	0	1
tuteur	6	8	0	0	0	0	1	1	1	1	1	1	1	1	2
tuteur	6	9	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	6	10	0	0	0	0	0	1	2	1	3	3	3	3	4
tuteur	6	11	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	6	12	0	1	0	1	1	1	1	1	1	1	1	1	1
tuteur	6	13	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	6	14	0	0	0	1	0	1	1	1	2	1	2	2	2
tuteur	7	1	0	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA
tuteur	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1
tuteur	7	3	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	7	4	0	0	0	0	0	0	1	0	1	1	2	3	3
tuteur	7	5	0	0	0	0	0	0	0	1	1	1	1	2	2
tuteur	7	6	0	0	0	0	1	0	1	0	1	1	0	0	1
tuteur	7	7	0	0	1	0	1	1	2	1	2	2	3	2	2
tuteur	7	8	1	2	1	2	2	2	2	1	2	3	4	NA	NA
tuteur	7	9	0	0	0	0	0	0	1	0	0	0	1	1	1
tuteur	7	10	0	0	0	0	0	0	0	0	0	1	1	1	2
tuteur	7	11	0	0	0	1	0	0	0	0	0	0	1	1	1
tuteur	7	12	0	0	0	0	0	0	0	0	0	0	1	1	1
tuteur	7	13	0	0	0	0	0	0	1	1	1	1	1	1	1
tuteur	7	14	0	0	0	1	1	1	1	0	1	1	1	1	1
tuteur	8	1	0	0	0	0	0	0	NA	0	NA	NA	0	0	NA
tuteur	8	2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	8	3	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	NA
tuteur	8	4	0	0	0	0	0	1	1	1	1	1	1	1	1
tuteur	8	5	0	0	0	0	0	0	1	0	1	0	1	1	1
tuteur	8	6	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	NA
tuteur	8	7	0	0	0	0	1	1	2	1	2	2	2	2	3
tuteur	8	8	1	0	1	2	2	2	2	1	2	1	4	4	2
tuteur	8	9	0	0	0	0	1	1	1	1	1	1	1	1	1
tuteur	8	10	0	0	0	0	1	1	1	1	1	1	1	1	1
tuteur	8	11	0	0	0	0	1	1	2	1	2	2	2	4	4
tuteur	8	12	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	8	13	0	0	0	1	2	1	2	1	1	1	1	1	1
tuteur	8	14	0	0	0	1	1	1	2	1	1	2	2	2	1
tuteur	9	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	9	2	0	0	0	0	0	0	0	0	NA	0	0	0	NA
tuteur	9	3	0	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA
tuteur	9	4	0	0	0	0	1	1	0	0	0	0	0	0	1
tuteur	9	5	0	0	0	0	1	1	1	0	2	2	2	2	2
tuteur	9	6	1	1	1	1	1	2	2	1	2	2	3	4	3
tuteur	9	7	0	0	0	1	1	1	1	2	4	4	4	5	5
tuteur	9	8	0	0	0	0	1	1	1	0	1	NA	NA	NA	NA
tuteur	9	9	0	0	0	1	1	1	1	1	1	1	1	2	1
tuteur	9	10	0	0	0	0	0	1	1	0	1	1	2	2	2
tuteur	9	11	0	0	0	0	0	1	1	1	1	1	1	2	2
tuteur	9	12	0	0	0	1	0	0	1	0	1	0	1	1	1
tuteur	9	13	0	0	0	0	0	0	1	1	1	1	1	1	1
tuteur	9	14	0	0	0	0	1	1	1	1	2	2	2	2	3
tuteur	10	1	0	0	0	0	0	0	1	0	1	0	0	0	0
tuteur	10	2	0	0	0	0	0	0	0	0	1	1	1	2	4
tuteur	10	3	0	0	0	0	0	0	0	0	0	0	0	1	1
tuteur	10	4	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA
tuteur	10	5	0	0	0	0	0	0	0	0	0	1	1	0	0
tuteur	10	6	0	0	0	0	0	0	0	0	0	NA	NA	1	NA
tuteur	10	7	0	0	0	0	0	0	1	0	1	NA	1	3	2
tuteur	10	8	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	10	9	0	0	0	1	1	2	3	1	3	3	3	4	NA
tuteur	10	10	0	0	0	1	3	2	4	1	2	4	2	2	2
tuteur	10	11	0	0	0	0	0	0	1	0	1	0	1	1	1
tuteur	10	12	0	0	0	0	0	0	2	1	1	1	1	1	1
tuteur	10	13	0	0	0	0	0	0	1	0	1	0	1	0	1
tuteur	10	14	0	0	0	0	0	0	0	0	0	0	1	1	1
tuteur	11	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
tuteur	11	2	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	11	3	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	11	4	0	0	0	0	0	0	1	0	NA	0	0	0	NA
tuteur	11	5	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	11	6	0	0	0	0	0	0	0	0	0	NA	NA	1	NA
tuteur	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	11	8	0	0	0	0	0	0	0	0	0	0	1	1	1
tuteur	11	9	0	0	0	1	0	0	1	0	1	1	1	1	1
tuteur	11	10	0	0	1	1	1	0	1	0	2	1	2	2	2
tuteur	11	11	0	0	0	1	1	1	0	0	1	1	1	1	1
tuteur	11	12	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	11	13	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	11	14	0	0	0	0	0	1	1	0	1	1	1	1	1
tuteur	12	1	0	0	0	0	1	2	2	1	2	2	2	3	2
tuteur	12	2	0	0	0	0	0	0	0	0	1	1	0	1	1
tuteur	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	12	4	0	0	0	0	1	1	1	0	1	1	2	2	1
tuteur	12	5	0	0	0	0	0	0	0	0	0	1	1	1	1
tuteur	12	6	0	0	0	0	0	0	0	0	1	1	1	1	1
tuteur	12	7	0	0	0	0	0	0	1	0	1	1	1	1	1
tuteur	12	8	0	0	0	1	1	0	1	0	1	1	1	1	1
tuteur	12	9	0	0	0	1	1	1	1	1	1	1	1	2	2
tuteur	12	10	0	0	0	1	1	1	1	1	1	1	2	2	1
tuteur	12	11	0	0	0	1	0	1	1	1	1	1	1	2	1
tuteur	12	12	0	0	0	0	0	0	0	0	0	0	1	1	1
tuteur	12	13	0	0	0	1	1	0	1	0	1	1	1	1	1
tuteur	12	14	0	0	0	1	0	0	1	0	1	1	1	1	1
tuteur	13	1	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA
tuteur	13	2	0	0	0	0	1	0	1	0	1	1	1	2	1
tuteur	13	3	0	0	0	0	0	0	NA	0	NA	NA	NA	0	NA
tuteur	13	4	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
tuteur	13	5	0	0	0	0	0	0	0	0	0	1	1	2	NA
