Country.Region,b,Asym,xmid,P(b),P(Asym),P(xmid),deviance,converged,nbiter
India,0.043546724038426965,102470.50710599478,18384.202272839524,1.901929342691627e-60,1.0525754822922147e-34,6.025505462264668e-304,1489770.5114850793,1,29
Indonesia,0.03564590812962733,29362.24520973858,18382.69976079763,3.538650747967161e-56,1.6893252863912487e-33,4.7431612170042296e-293,295154.23698813724,1,26
"Iran, Islamic Rep.",0.05343514337310441,117280.59502512147,18351.360137755797,6.601947040053363e-54,1.9637429407545757e-65,0,186047678.9314993,1,10
Iraq,0.0705086447269465,2096.9504856414324,18353.40567055502,1.8948772366100578e-50,2.078675273008383e-67,0,81056.71762640247,1,24
Ireland,0.048599348040155844,41688.51202652899,18371.775659919876,3.869613346804329e-34,3.4932662260357065e-24,1.1533272747899502e-287,7672084.12273031,1,29
Isle of Man,0.11111779409154564,359.3242363767359,18356.90280602337,8.09829114260857e-52,1.1994698003481828e-78,0,2556.5861662956822,1,15
Israel,0.09467089568324155,16513.159642129634,18353.380931087846,6.007900565781896e-70,1.8616937601281387e-97,0,2419406.3572264183,1,16
Italy,0.06575823636923889,221539.65966292558,18347.605972899804,1.444258736657344e-88,3.5703580343766865e-111,0,179414861.53819963,1,11
Jamaica,0.011939135390953952,318935.35002746264,18539.567597881356,0.024964549378155294,0.7716156477660806,1.6425024174772468e-115,7220.274471723585,0,50
Japan,0.025522976923067386,99676.39193261306,18403.571341153875,1.1048184925165322e-12,0.003123200150496079,1.7451516645463864e-213,8778909.587000191,1,32
Jordan,0.11886572000808794,438.77930214567635,18345.4240114072,4.442934770440797e-66,1.5334698871222468e-112,0,4040.8077425277984,1,21
Kazakhstan,0.0263510170992457,25293.00957160012,18408.29152887731,3.9528189553137525e-27,2.2212519682823026e-6,1.5911481186028946e-237,64365.40064187468,1,23
Kenya,0.07228545203194083,435.5659301142096,18359.851392334058,6.9595864024959864e-34,4.935076178516441e-42,7.04824e-319,4981.126789115958,1,12
"Korea, Rep.",0.11993619639324064,10327.896377944586,18322.328046395924,1.7928278521612564e-45,4.571612113281003e-109,0,11921677.08545648,1,12
Kosovo,0.06978539190734834,851.0019075807218,18364.056946842007,2.804433952069075e-15,1.467392032367381e-16,3.242547964217117e-284,44844.62163966952,1,12
Kuwait,0.018344551215135084,85173.0770623323,18443.933744122376,2.2174027048289322e-11,0.07434065783239885,1.5898613192459195e-189,189948.20800569898,1,40
Kyrgyz Republic,0.0672798950432902,1062.429777784902,18365.07501194078,5.658570203627575e-47,3.903178320377466e-47,0,6725.475130474464,1,12
Lao PDR,0.12919352297893433,20.509307619544135,18350.828260524755,4.3169187078168736e-32,3.202733923559077e-71,0,46.91648564235226,1,14
Latvia,0.09177189125933945,831.4838037651701,18348.818021607036,3.755042115689809e-73,6.495742378255086e-106,0,7041.64063989718,1,21
Lebanon,0.09025231678575073,734.1826059407853,18343.79694374137,3.7842170722197868e-65,4.3009933991742806e-103,0,10951.419790125818,1,16
Liberia,0.08845493998084647,181.68892668140546,18367.49859250906,7.975087474817437e-26,9.907287017513986e-27,2.7469858849777e-310,605.7193040894716,1,20
Libya,0.0651802377443392,107.4865798223379,18367.04143509621,8.797302782246286e-17,4.9838304704203985e-15,2.5004273597462536e-280,387.8793640546898,1,14
Liechtenstein,0.16765415737071954,80.7695909972953,18341.201808561487,5.429400641384977e-46,4.2838104824298525e-107,0,476.95079825004694,1,20
Lithuania,0.08505869285905412,1585.907578668834,18353.068109095184,1.1109393513505631e-55,2.1385195502975753e-79,0,43610.13871450947,1,19
Luxembourg,0.12169626547448159,3739.191706418304,18346.757973066986,4.000994066304385e-89,2.200934638235523e-135,0,85574.97552057562,1,18
Madagascar,0.12282787257013685,129.59760975547837,18351.66265260118,5.008336905224382e-65,1.450823076363752e-104,0,271.0510352300236,1,12
Malawi,0.040517078186579056,148.57551039105707,18387.81926324724,1.3216708563037428e-4,0.08048666769458525,1.4511588806705785e-206,193.80274185458404,1,24
Malaysia,0.07222425724579043,6656.5900466675175,18349.812011777947,8.300472519306472e-90,5.283177773315611e-113,0,143361.49027961638,1,17
Maldives,0.018340154904479846,856697.3511670944,18494.46158353397,0.4493287456419849,0.9362281147680355,1.716798242048397e-86,6940.926641646779,0,50
Mali,0.031247643447116735,4020.9987179599766,18405.067671220142,1.2972450310635492e-22,8.288916614085602e-5,4.719979725183277e-237,1365.1385770656864,1,21
Malta,0.06569990222510677,590.6236614532207,18354.001097211596,2.789057091770547e-36,2.0515891278742165e-49,8.9e-322,12782.672668924593,1,21
Martinique,0.146469576923359,168.43550171605614,18345.119833120592,1.4558973144319897e-46,1.4721760157638156e-99,0,1819.1303652709812,1,22
Mauritania,0.1307793275378048,7.334578255265022,18344.314916179617,1.5462144997273601e-29,2.706681648064464e-76,0,9.68833822593121,1,20
Mauritius,0.14490401035801312,350.8437247933649,18350.689683303095,2.17986558313009e-45,3.867283795221707e-91,0,6626.933755635289,1,15
Mayotte,0.051637705650585744,594.3137029544636,18365.103492986404,4.339532846240121e-24,3.1691723282803748e-21,2.212961519758169e-282,7462.433147163901,1,15
Mexico,0.01627219217582998,1929504.6232009465,18475.937701077404,1.3049398477873857e-9,0.25078853377770177,4.7680069963794006e-175,2496151.0583399516,0,50
Moldova,0.06540382882197644,5196.172206524363,18366.22319516137,9.82140326496561e-55,8.57067843297073e-53,0,87882.36007393472,1,23
Monaco,0.1197392263307742,100.85297973592806,18347.689957024486,5.883382343083323e-54,2.436393741573955e-97,0,365.3060013545456,1,19
Mongolia,0.021732085997689818,207.04713108935434,18400.755737892654,2.7789648238918982e-5,0.0700865259438516,2.02536451887828e-184,373.20657983131906,1,32
Montenegro,0.12581173786444463,337.11379863961565,18351.67511102959,1.3764097107766286e-52,2.3799086705452546e-92,0,3605.3987713026468,1,14
Montserrat,0.1005682489437204,12.433775851360739,18350.755003815328,6.171537104063532e-23,2.1661611582397694e-50,0,27.31696205515433,1,17
Morocco,0.03241248538714716,19127.41359226633,18391.02949424748,2.607275282518552e-36,2.7433258703887582e-14,4.959405765689537e-263,136064.37708400429,1,23
Mozambique,0.00997948273881474,150975.93745878089,18582.79580082477,0.06454820390439765,0.8296716645610653,2.5043017484957435e-99,408.0454761546076,0,50
Namibia,0.1591002054516914,16.6609486403944,18344.902390171454,5.673792809375691e-36,2.14653112030187e-90,0,33.322198543353615,1,24
Nepal,0.0134436197977668,46293.96695494874,18519.123507140437,0.06615502918821169,0.8076531846678319,1.9012268514572671e-112,333.9874635998509,0,50
Netherlands,0.05970710458173857,51219.38496330208,18357.98816769348,3.798055076690478e-91,1.6628796454144773e-98,0,3220567.046319158,1,11
New Caledonia,0.3270870620915203,17.925528215468912,18343.330713734715,1.871424886733423e-44,3.68047562155414e-122,0,17.5237330738271,1,22
New Zealand,0.14906592142931285,1506.9627995109774,18350.54076433685,2.0614474715102558e-88,2.6027793637269203e-137,0,13008.988189701062,1,21
Nicaragua,0.06864041116655338,13.720058220426617,18354.649101083032,2.3514534014060656e-29,4.969913455863912e-42,4.36331006e-315,10.57864272319054,1,18
Niger,0.18973860907990706,702.3607338598181,18358.091256878368,5.973129548428663e-72,2.63548260208742e-117,0,4547.042084216812,1,18
Nigeria,0.009427423556344386,8216427.2376550045,18609.084316194294,0.042635059822516364,0.8342780832857403,2.277881237059291e-99,80617.87394553772,0,50
North Macedonia,0.05414357770864399,2315.17820876629,18364.347463048398,7.485645977904898e-49,1.9534181937185092e-46,4.9530504e-316,27481.837726111,1,26
Norway,0.08228334045107519,8013.168633715582,18344.678243827613,4.920044141205004e-78,7.4737263239517775e-112,0,595386.2208774107,1,18
Oman,0.02366655435016402,39619.32444227006,18423.430607182552,2.766821662543813e-19,0.003392094667698216,1.6248280994388116e-217,43439.94907442952,1,37
Pakistan,0.019281626646736997,242091.0791910148,18433.658070828584,2.2470111184423746e-16,0.009490672145672927,3.384260983352505e-204,2678969.254936366,1,40
Panama,0.05463384638399851,9404.563224205533,18366.044195734656,6.193223294369643e-63,1.8908982312160784e-58,0,173306.79842594918,1,12
Papua New Guinea,0.020043474814695032,341.95972249439257,18441.013275763027,0.09285013591379224,0.701459452450392,2.166162007610681e-132,34.275004849924656,1,28
Paraguay,0.05374592912770637,357.7720229685096,18361.624289280022,5.960434482144653e-40,1.8971644613355434e-40,6.99288330835839e-308,1478.4538096391198,1,20
