"ISO_A3","Country","AUC_confirmed","AUC_deaths","AUC_recovered","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","date_first_cases","days_since_first_cases","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"HRV","Croatia",55030,1044.5,1044.5,13404.727779039,254.429187083523,254.429187083523,"2020-02-25",65,4856.29,-29,24,27,97.35,18.2150537634409,20,54.5351739627056,21
"HTI","Haiti",1420.5,88,88,124.577582893205,7.71758345272932,7.71758345272932,"2020-03-20",41,"NA","NA","NA","NA","NA",7.4,1,26.1372906369248,0.5
"HUN","Hungary",50982.5,4445,4445,5277.50029760826,460.128256222601,460.128256222601,"2020-03-04",57,3949.54,-5,7,24,78.44,16.7855072463768,11,45.172380720672,11
"IDN","Indonesia",171881,14660,14660,628.395454007243,53.596833598514,53.596833598514,"2020-03-02",59,4256.91,-59,24,53,74.88,14.3967582804792,16,37.4811628875269,17.5
"IMN","Isle of Man",7279.5,217.5,217.5,85608.9472198702,2557.8605701383,2557.8605701383,"2020-03-20",41,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"IND","India",440513.5,14066,14066,319.211666852783,10.1927212354474,10.1927212354474,"2020-01-30",91,4775.435,-4,48,52,100,26.3805555555556,51,67.2716666666667,51
"IRL","Ireland",378863,16340,16340,76727.1470915364,3309.16870603808,3309.16870603808,"2020-02-29",61,4192.665,-25,15,37,91.8,23.6985507246377,15,52.9740581150646,15.5
"IRN","Iran, Islamic Rep.",2736081,172680,172680,32575.1256775077,2055.88675992854,2055.88675992854,"2020-02-19",71,3327.115,1,32,46,65.34,"NA","NA","NA","NA"
"IRQ","Iraq",47820.5,2737.5,2737.5,1188.89915925918,68.0589171688296,68.0589171688296,"2020-02-24",66,5464.455,-5,3,31,97.35,14.7698863636364,22,53.3133890986471,20
"ISL","Iceland",60543.5,256,256,177416.84981685,750.18315018315,750.18315018315,"2020-02-28",62,3408.055,-36,17,21,56.61,"NA","NA","NA","NA"
"ISR","Israel",385638,3943,3943,44553.88750397,455.546337311556,455.546337311556,"2020-02-21",69,5162.825,-25,21,47,96.03,24.4086573734409,22,61.0011370126975,23
"ITA","Italy",6036881.5,746716.5,746716.5,99846.1624415325,12350.2137580094,12350.2137580094,"2020-01-31",90,6324.17,-8,23,72,94.58,25.1607843137255,39,69.2415069104565,39
"JAM","Jamaica",5182,156,156,1749.98927785419,52.6820392406897,52.6820392406897,"2020-03-11",50,4512.275,-40,2,47,85.31,18.4449275362319,4,44.6025901906397,3.5
"JOR","Jordan",14010.5,211,211,1373.15571480936,20.6799083419418,20.6799083419418,"2020-03-03",58,4507.65,0,15,15,100,24.5653409090909,14,71.1833336753508,14
"JPN","Japan",275528,6691,6691,2178.4923799811,52.9031260505414,52.9031260505414,"2020-01-15",106,3729.29,-8,54,79,53.3,9.19524200164069,83,18.1240143602884,83
"KAZ","Kazakhstan",46454,439.5,439.5,2474.02273465736,23.4066601774209,23.4066601774209,"2020-03-13",48,3727.08,-1,5,17,84.14,16.6729036729037,9,49.4699293788426,8
"KEN","Kenya",7435,294.5,294.5,138.270787576272,5.47689938684763,5.47689938684763,"2020-03-13",48,4230.095,-53,2,44,93.66,20.6895356895357,9,39.8600719513219,8.5
"KGZ","Kyrgyz Republic",13474,150,150,2065.23690063642,22.9913563229525,22.9913563229525,"2020-03-18",43,4671.195,-56,-1,7,87.31,22.0880110880111,4,66.5516634552,3.5
"KHM","Cambodia",4781,0,0,285.962575089101,0,0,"2020-01-27",94,"NA","NA","NA","NA","NA",9.65909090909091,50,30.2350059939269,50
"KNA","St. Kitts and Nevis",402.5,0,0,7566.92735749737,0,0,"2020-03-25",36,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KOR","Korea, Rep.",567125.5,9098,9098,11061.7229847411,177.455529182121,177.455529182121,"2020-01-20",101,5196.23,11,34,77,83.46,4.09109730848861,32,13.7643793336288,67
"KWT","Kuwait",53681,221,221,12570.0054067813,51.7496170879577,51.7496170879577,"2020-02-24",66,4903.495,-32,16,63,91.01,21.1492753623188,20,51.1561676860394,18
"LAO","Lao PDR",543.5,0,0,74.7021945814176,0,0,"2020-03-24",37,3546.355,-13,6,6,97.35,13.2959112959113,0,41.0026862936009,2
"LBN","Lebanon",23773.5,714,714,3483.07113297571,104.608609962549,104.608609962549,"2020-02-21",69,4663.685,-8,24,26,89.41,15.8563869992441,20,53.9115339188072,20
"LBR","Liberia",2026.5,194,194,400.67801878214,38.3575305421837,38.3575305421837,"2020-03-16",45,3269.995,-2,6,27,80.29,"NA","NA","NA","NA"
"LBY","Libya",1182.5,36.5,36.5,172.092942704911,5.31195975368224,5.31195975368224,"2020-03-24",37,4059.915,-10,-8,24,100,14.3565891472868,-6,41.487117394879,-6
"LCA","St. Lucia",499.5,0,0,2720.15858061635,0,0,"2020-03-14",47,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LIE","Liechtenstein",3024,26.5,26.5,79293.0749665679,694.86325615544,694.86325615544,"2020-03-04",57,"NA","NA","NA","NA","NA",0,"NA",27.444193310693,12
"LKA","Sri Lanka",10240.5,195.5,195.5,478.231935834121,9.12986118407995,9.12986118407995,"2020-01-27",94,4759.975,-1,47,61,100,33.9188405797101,48,74.0333069533798,50.5
"LTU","Lithuania",36416.5,869.5,869.5,13377.1518180826,319.400093524168,319.400093524168,"2020-02-28",62,"NA","NA","NA","NA","NA",15.5652173913043,16,47.7317523056654,16
"LUX","Luxembourg",114635,2060,2060,183130.024154281,3290.86099147571,3290.86099147571,"2020-02-29",61,3974.36,5,15,17,82.27,27.5181818181818,15,62.0119792575779,15.5
"LVA","Latvia",22997,177.5,177.5,12192.2254350276,94.1044490462846,94.1044490462846,"2020-03-02",59,"NA","NA","NA","NA","NA",11.9028985507246,13,32.9513030538302,13
"MAF","St. Martin (French part)",1118,64.5,64.5,28919.5271476241,1668.43425851677,1668.43425851677,"2020-03-09",52,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MAR","Morocco",73413.5,3720,3720,1988.9566557081,100.784171293211,100.784171293211,"2020-03-02",59,4156.66,2,18,23,93.38,"NA","NA","NA","NA"
"MCO","Monaco",2992.5,71,71,76253.6948323311,1809.19376210376,1809.19376210376,"2020-02-29",61,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MDA","Moldova",63096.5,1554,1554,15641.3184751571,385.229115884305,385.229115884305,"2020-03-08",53,4258.68,-13,3,16,90.74,16.8985507246377,7,52.91642680147,7
"MDG","Madagascar",3350,0,0,120.977852060988,0,0,"2020-03-20",41,3580.005,-5,1,16,94.84,"NA","NA","NA","NA"
"MDV","Maldives",2574,1.5,1.5,4761.88714290471,2.77499250752023,2.77499250752023,"2020-03-08",53,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MEX","Mexico",228031,18596.5,18596.5,1768.60413428076,144.234103184006,144.234103184006,"2020-02-28",62,3169.075,0,25,31,85.45,17.7560637560638,23,46.5377320971152,21.5
"MKD","North Macedonia",30826.5,1284.5,1284.5,14796.3885608962,616.546189365358,616.546189365358,"2020-02-26",64,"NA","NA","NA","NA","NA",19.3595011005136,17,55.6018722598416,17
"MLI","Mali",5759,374,374,284.383349347489,18.4683751790173,18.4683751790173,"2020-03-25",36,2925.365,-7,0,0,76.19,9.96944444444445,0,19.9207299753449,0
"MLT","Malta",12573.5,69,69,28476.5332167713,156.271586428379,156.271586428379,"2020-03-07",54,"NA","NA","NA","NA","NA",22.5159420289855,8,57.7705984771885,7
"MMR","Myanmar",2387.5,108,108,43.8799676396496,1.98493675605535,1.98493675605535,"2020-03-27",34,4022.93,-81,-1,21,85.06,16.3616724738676,-1,44.8491986062718,-1
"MNE","Montenegro",8729,128.5,128.5,13898.3094025749,204.597635265308,204.597635265308,"2020-03-17",44,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MNG","Mongolia",915,0,0,279.10875541288,0,0,"2020-03-10",51,5939.65,-69,-43,26,67.99,-5.31652661064426,17,15.7931221162224,18.5
"MOZ","Mozambique",1080,0,0,34.5539903699949,0,0,"2020-03-22",39,2489.955,-40,6,10,53.83,13.2105263157895,1,24.6868693320346,1.5
"MRT","Mauritania",246,31.5,31.5,52.9070942821626,6.77468890198423,6.77468890198423,"2020-03-14",47,3599.545,-38,5,15,80.95,"NA","NA","NA","NA"
"MSR","Montserrat",318.5,6.5,6.5,63712.7425485097,1300.2600520104,1300.2600520104,"2020-03-18",43,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MTQ","Martinique",5629,273,273,15000.0666195888,727.485909956964,727.485909956964,"2020-03-07",54,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MUS","Mauritius",9589,276,276,7539.9031426354,217.020885114962,217.020885114962,"2020-03-18",43,3564.9,0,2,31,91.4,30.0686274509804,1,82.0672268907563,1
"MWI","Malawi",509.5,51.5,51.5,26.6336225046008,2.69211297151509,2.69211297151509,"2020-04-02",28,2461.805,-51,-10,16,56.61,"NA","NA","NA","NA"
"MYS","Malaysia",170242,2606,2606,5259.90269170751,80.5165964602729,80.5165964602729,"2020-01-25",96,4288.275,-9,53,53,71.03,34.0568181818182,52,68.7462209302326,52
"MYT","Mayotte",7995.5,91,91,29307.6209711414,333.561817068835,333.561817068835,"2020-03-15",46,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NAM","Namibia",561,0,0,220.786519507138,0,0,"2020-03-14",47,3003.335,-13,3,34,75.79,20.2156862745098,13,48.0627710596434,13
"NCL","New Caledonia",662,0,0,2318.81215169655,0,0,"2020-03-19",42,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NER","Niger",14842.5,506,506,613.158309151259,20.9033588971223,20.9033588971223,"2020-03-20",41,2651.445,-7,0,8,61.51,12.6978516978517,4,24.1674489606197,2
"NGA","Nigeria",19385,556,556,94.0382208100572,2.69720148415743,2.69720148415743,"2020-02-28",62,4419.805,-58,29,60,81.5,24.2361111111111,26,49.8382700690765,26
"NIC","Nicaragua",295,54.5,54.5,44.5312997675013,8.2269689400977,8.2269689400977,"2020-03-19",42,805.505,-27,"NA",27,16.67,10.327731092437,0,28.5159118634305,0.5
"NLD","Netherlands",924688,97967.5,97967.5,53965.2672068244,5717.43368042471,5717.43368042471,"2020-02-27",63,3972.095,8,17,33,84.65,14.3884057971015,17,39.4251802291969,17
"NOR","Norway",247910,4387,4387,45729.373453537,809.224159334706,809.224159334706,"2020-02-26",64,4180.645,-26,15,27,79.63,14.0869236583522,15,39.7066869414432,15
"NPL","Nepal",855.5,0,0,29.3614866803529,0,0,"2020-01-25",96,4737.305,-24,57,59,95.24,22.8684210526316,58,72.0105263157895,58
"NZL","New Zealand",41758.5,265.5,265.5,8659.57741983848,55.0574806318981,55.0574806318981,"2020-02-28",62,4739.015,-26,22,27,97.35,28.8421052631579,24,76.2013505002979,24
"OMN","Oman",32750,159.5,159.5,6413.24147352203,31.2339546573057,31.2339546573057,"2020-02-24",66,4890.575,-35,22,46,94.71,17.5715292459479,23,49.9297778547642,23
"PAK","Pakistan",237587.5,4437.5,4437.5,1075.58057323412,20.0889726678651,20.0889726678651,"2020-02-26",64,4841.19,-26,16,29,97.35,18.4060984060984,25,54.2545163000041,24
"PAN","Panama",116738,3129,3129,27055.4523441353,725.183833754213,725.183833754213,"2020-03-10",51,4205.59,-49,6,39,83.6,34.3295454545455,7,73.1634097544078,7
"PER","Peru",400158,10672.5,10672.5,12136.3541489306,323.685243464985,323.685243464985,"2020-03-06",55,4683.245,-1,8,12,96.03,36.584229390681,10,81.6303007635967,10
"PHL","Philippines",170975,10504,10504,1560.26014891165,95.8559590827194,95.8559590827194,"2020-01-30",91,5688.72,-6,45,48,97.22,30.5906810035842,46,69.9397796513522,46
"PNG","Papua New Guinea",147,0,0,16.4300387156538,0,0,"2020-03-20",41,3646.68,-53,4,29,83.07,10.1193181818182,3,20.9119367603501,3
"POL","Poland",245015.5,9212,9212,6473.90961487827,243.403602515998,243.403602515998,"2020-03-04",57,4181.355,-41,10,36,88.09,16.3786848072562,8,49.2659025743362,8
"PRT","Portugal",567438.5,18319.5,18319.5,55649.1914497494,1796.60943479106,1796.60943479106,"2020-03-02",59,4495.52,-36,17,38,90.61,27.8101449275362,13,70.6310521828751,12
