ISO_A3,ISO_A2,Country,Lat,Long,confirmed_last,deaths_last,recovered_last,AUC_confirmed,AUC_deaths,AUC_recovered
SMR,SM,Samoa,-13.759,-172.1046,3,0,2,392.5,0,289
STP,ST,San Marino,43.9424,12.4578,5066,90,4917,702048,21003,594608.5
SAU,SA,Sao Tome and Principe,0.1864,6.6131,2302,35,2241,402309,6557.5,339554.5
SEN,SN,Saudi Arabia,23.885942,45.079162,417363,6957,400580,110354688.5,1650212.5,102308874
SRB,RS,Senegal,14.4974,-14.4524,40344,1107,39083,6688794,154659.5,5747043.5
SYC,SC,Serbia,44.0165,21.0059,689557,6362,0,74872464.5,762635,735730
SLE,SL,Seychelles,-4.6796,55.492,5873,28,5101,353647.5,1528,302410.5
SGP,SG,Sierra Leone,8.460555,-11.779889,4054,79,3076,887488,24916.5,631563
SXM,SX,Singapore,1.2833,103.8333,61145,30,60751,19660613.5,10309,18333760.5
SVK,SK,Sint Maarten (Dutch part),18.0425,-63.0548,2230,27,2187,362513,8173.5,329082.5
SVN,SI,Slovak Republic,48.669,19.699,382211,11684,255300,44380403.5,924575,32238645
SLB,SB,Slovenia,46.1512,14.9955,240292,4250,226647,28219456,564182,24327706.5
SOM,SO,Solomon Islands,-9.6457,160.1562,20,0,20,3228,0,1983
ZAF,ZA,Somalia,5.152149,46.199616,13915,713,5847,1786026.5,62911.5,1029538.5
SSD,SS,South Africa,-30.5595,22.9375,1581210,54350,1505620,298352528,8620850,265027887
ESP,ES,South Sudan,6.877,31.307,10583,115,10312,1434630.5,21187.5,1023688
LKA,LK,Spain,40.463667,-3.74922,3524077,78216,150376,542751758.5,16728691,56672547
MAF,MF,Sri Lanka,7.873054,80.771797,108146,678,95975,11488028,62911,10253146.5
LCA,LC,St. Kitts and Nevis,17.357822,-62.782998,44,0,44,9766,0,8905
SPM,PM,St. Lucia,13.9094,-60.9789,4552,74,4363,361795,4632,316274.5
SDN,SD,St. Martin (French part),18.0708,-63.0501,1745,12,1399,251555.5,3076,206268.5
WSM,WS,St. Vincent and the Grenadines,12.9843,-61.2872,1864,11,1715,172378,747.5,122053.5
SUR,SR,Sudan,12.8628,30.2176,33944,2349,26795,6609201,415965.5,4129093.5
SWE,SE,Suriname,3.9193,-56.0278,10363,204,9336,1794583.5,35394,1640693
CHE,CH,Sweden,60.128161,18.643501,973604,14048,0,111791646,2915578,0
SYR,SY,Switzerland,46.8182,8.2275,659974,10632,317600,95887849,1871930,58619983
TWN,TW,Syrian Arab Republic,34.802075,38.996815,22733,1592,16821,2796695.5,173422,1539759.5
TJK,TJ,Taiwan,23.7,121,1128,12,1053,260262.5,3033,230011.5
TZA,TZ,Tajikistan,38.861,71.2761,13308,90,13218,3595656,26823,3316867
THA,TH,Tanzania,-6.369028,34.888822,509,21,183,190065.5,7791.5,67328.5
TLS,TL,Thailand,15.870032,100.992541,65153,203,26873,4092811.5,26083.5,3316301.5
TGO,TG,Timor-Leste,-8.874217,125.727539,2276,3,1209,57057,50.5,31094.5
TTO,TT,Togo,8.6195,0.8248,12967,123,11140,1301050.5,19778.5,1044802
TUN,TN,Trinidad and Tobago,10.6918,-61.2225,10824,169,8481,1642973,29795.5,1410021.5
TUR,TR,Tunisia,33.886917,9.537499,309119,10722,259957,35154469.5,1156754,27092420.5
TCA,TC,Turkey,38.9637,35.2433,4820591,40131,4323897,469009087.5,5535716.5,421499775.5
UGA,UG,Turks and Caicos Islands,21.694,-71.7979,2388,17,2343,325218,2441.5,285379.5
UKR,UA,Uganda,1.373333,32.290275,41866,342,41422,6747768,55745,3554377
ARE,AE,Ukraine,48.3794,31.1656,2124070,45923,1705967,246051280,4768814.5,178611587.5
GBR,GB,United Arab Emirates,23.424076,53.847818,520236,1587,500779,67688055,240289.5,62464072.5
URY,UY,United Kingdom,55.3781,-3.436,4416623,127517,0,649364770.5,25106770.5,4115
UZB,UZ,United States,40,-100,32346971,576056,0,5078032603,106331540,496971828
USA,US,Uruguay,-32.5228,-55.7658,198428,2616,167823,10052573,111788,8155677.5
VUT,VU,Uzbekistan,41.377491,64.585262,90808,649,87067,19378204,150285.5,18335059.5
VEN,VE,Vanuatu,-15.3767,166.9592,4,1,3,288,9.5,163.5
HND,HN,Vatican,41.9029,12.4534,27,0,15,7655.5,0,4646.5
VNM,VN,"Venezuela, RB",6.4238,-66.5897,197683,2136,179200,29640047.5,276582,26941834
WLF,WF,Vietnam,14.058324,108.277199,2928,35,2516,489308,9090.5,407543
PSE,PS,Wallis and Futuna,-14.2938,-178.1165,444,7,44,19367,177.5,1957
ESH,EH,West Bank and Gaza,31.9522,35.2332,296462,3249,272333,32879216,340091.5,28455653.5
YEM,YE,"Yemen, Rep.",15.552727,48.516388,6317,1226,2751,769203.5,199772,415705.5
ZMB,ZM,Zambia,-13.133897,27.849332,91586,1251,89933,10762332,168764.5,9949236.5
ZWE,ZW,Zimbabwe,-19.015438,29.154857,38257,1567,35612,5347448.5,190595.5,4526367
