Id_data;Date;Observateur;Id_site;Etat_bio;Etat;Biotope;Site;Gps_latitude;Gps_longitude;Id_ecoute;Duree;Time;Protocol;Regne;Famille;Genre;Espece;Nom_sc;Nom_co;Taxonomic Order;Count
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;3
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;3
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;3
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Columbidae;Patagioenas;leucocephala;Patagioenas leucocephala;Pigeon à  couronne blanche;1900;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Columbidae;Patagioenas;leucocephala;Patagioenas leucocephala;Pigeon à  couronne blanche;1900;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Trochilidae;Eulampis;jugularis;Eulampis jugularis;Colibri madère;4268;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Trochilidae;Eulampis;jugularis;Eulampis jugularis;Colibri madère;4268;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Rallidae;Gallinula;galeata;Gallinula galeata;Gallinule d'Amérique;5280;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Scolopacidae;Tringa;solitaria;Tringa solitaria;Chevalier solitaire;5973;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;3
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;3
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Tyrannidae;Tyrannus;dominicensis;Tyrannus dominicensis;Tyran gris;16693;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Tyrannidae;Tyrannus;dominicensis;Tyrannus dominicensis;Tyran gris;16693;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;3
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE9;5;7:59 AM;eBird - Stationary Count;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE7;5;7:48 AM;eBird - Stationary Count;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1
;18/04/2021;Anthony LEVESQUE;B0GO;B0;0;B;A_Golconde;16.297784;-61.52418;B0GOE8;5;7:54 AM;eBird - Stationary Count;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1
