ident,enqueteur,c1,c2,c3,c4,c5,c6,sexe,age,ann_insta,commun_exp,form_gen,form_agri,pc_fvd,pc_ferm,adh_group,adh_sica,adh_cuma,sau,s_ignames,s_autr_tuber,s_banane,s_canne,s_prairie,s_meca,conduite_ig,acti_agri,uth,uth_ig,success,revenu_agri,ig_annees,ig_prod_prin,ig_part_revenu,ig_lev_rev,ig_lev_diversif,ig_chaque_ann,ig_nb_var_cult,ig_semenceau,ig_assoc_var,ig_fr_maladie,ig_fr_temps_trav,ig_fr_dispo_plant,ig_fr_cout_prod,ig_fr_vol,ig_fr_eau,ig_fr_cons_plant,pb_dispo_sem,ig_av_s2,ig_av_nb_var,attri_cout,attri_nb_var,attri_dispo,attri_engage,Q4-03,Q4-06,Q4-09,Q4-13,Q4-15,Q4-18,Q4-22,Q4-24,fut_acha_sem_qual,futur_prod_ig971,futur_conso_ig971
BM91,BM,1,2,1,1,2,2,H,66,1986,SAINTE ROSE,Superieur,BTSA,19.00%,81.00%,0,0,0,25.00,1.00,0.00,1.00,0.00,22.00,15.00,TUTEUREE,100%,5.00,1.00,1,50-75,1,0,0-25,0,0,0,1,AUTRES AGRICULTEURS,0,0,0,1,0,0,0,0,1,MAINTIEN,MAINTIEN,2,4,1,3,1,1,1,1,0,0,0,1,100%,BAISSE,BAISSE
BM92,BM,0,1,0,0,0,2,H,66,1987,SAINTE ROSE,Primaire,Sur le tas,0.00%,0.00%,0,1,0,3.00,0.50,0.00,0.00,2.50,0.00,0.00,A PLAT,60%,0.60,0.40,0,25-50,31,0,0-25,0,0,0,1,AUTRES AGRICULTEURS,0,0,0,0,0,0,0,0,1,MAINTIEN,AUGMENTATION,1,4,2,3,1,1,0,1,1,1,1,1,50%,BAISSE,AUGMENTATION
BM93,BM,2,1,1,2,2,2,H,62,1988,BAIE MAHAULT,Secondaire court,Sur le tas,0.00%,100.00%,0,1,0,20.74,0.52,0.00,0.56,19.00,0.00,20.74,LES DEUX,100%,1.40,0.50,1,75-100,4,0,0-25,0,0,1,5,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,1,AUGMENTATION,REDUCTION,2,3,1,4,1,1,1,1,1,1,1,1,25%,AUGMENTATION,AUGMENTATION
BM94,BM,2,1,1,2,1,1,H,56,1984,PORT - LOUIS,Superieur,Sur le tas,0.00%,100.00%,0,1,1,17.00,2.00,2.00,0.00,8.00,0.00,17.00,LES DEUX,100%,2.00,1.00,0,75-100,30,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,0,0,0,0,1,0,0,0,0,AUGMENTATION,AUGMENTATION,1,4,2,3,1,1,1,1,1,1,1,1,100%,BAISSE,AUGMENTATION
BM95,BM,0,2,0,2,0,0,H,61,1986,MORNE A L'EAU,Secondaire long,Sur le tas,0.00%,100.00%,0,1,0,8.70,1.00,1.50,0.00,3.00,0.00,8.70,A PLAT,100%,1.40,0.60,1,75-100,2,0,25-50,1,0,1,3,PRODUCTION PERSONNELLE,1,1,0,0,1,0,0,0,0,MAINTIEN,MAINTIEN,1,2,3,4,1,1,1,1,0,1,1,0,100%,BAISSE,AUGMENTATION
BM96,BM,1,2,2,2,0,1,H,58,2000,MORNE A L'EAU,Secondaire court,Sur le tas,0.00%,100.00%,0,1,1,8.31,1.00,0.30,0.50,2.00,1.57,6.00,LES DEUX,100%,1.50,0.80,0,0-25,18,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,1,1,0,0,0,1,0,0,1,AUGMENTATION,AUGMENTATION,2,3,4,1,1,1,1,1,1,1,1,1,50%,BAISSE,AUGMENTATION
BM97,BM,0,1,0,2,0,2,H,59,1988,PETIT BOURG,Primaire,Sur le tas,0.00%,100.00%,0,1,0,15.00,0.50,0.50,0.50,7.00,5.00,15.00,A PLAT,100%,1.50,0.50,0,75-100,30,0,0-25,1,0,1,4,AUTRES AGRICULTEURS,1,1,0,0,0,0,0,0,0,NSP,NSP,1,4,3,2,1,1,1,1,1,0,1,1,50%,AUGMENTATION,AUGMENTATION
BM98,BM,0,2,0,0,0,0,H,48,1993,SAINTE ROSE,Secondaire long,BTA,0.00%,100.00%,0,1,0,15.00,5.00,0.00,2.00,0.00,0.00,15.00,TUTEUREE,100%,4.00,3.00,0,25-50,10,0,0-25,1,0,1,2,COMMERCE,1,1,1,0,0,0,0,0,0,AUGMENTATION,MAINTIEN,1,3,2,4,1,1,1,1,1,0,0,1,50%,BAISSE,BAISSE
BM99,BM,0,0,0,0,0,0,H,61,1986,BAILLIF,Secondaire court,Sur le tas,100%,0.00%,0,0,0,5.14,0.20,0.50,0.00,0.00,0.00,5.14,TUTEUREE,100%,1.00,0.20,1,25-50,5,0,0-25,0,0,1,1,AUTRES AGRICULTEURS,0,1,0,0,0,0,0,0,1,AUGMENTATION,MAINTIEN,1,4,3,2,1,1,0,0,0,0,1,0,25%,BAISSE,AUGMENTATION
BM100,BM,0,1,0,2,0,0,F,51,1989,LAMENTIN,Superieur,BTA,0.00%,100.00%,0,1,0,14.00,0.50,0.20,0.10,12.00,0.00,14.00,A PLAT,100%,1.40,0.40,1,75-100,29,0,0-25,1,0,1,2,PRODUCTION PERSONNELLE,1,0,0,0,0,0,1,0,1,AUGMENTATION,AUGMENTATION,1,3,2,4,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
BM101,BM,0,1,2,2,0,1,F,48,2008,BAILLIF,Secondaire court,Sur le tas,0.00%,0.00%,0,0,0,4.00,2.00,0.00,0.00,0.00,0.00,4.00,LES DEUX,100%,1.40,1.00,0,25-50,10,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,0,1,1,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,4,1,2,3,1,1,1,1,1,1,0,0,50%,BAISSE,PAS DE CHANGEMENT
BM102,BM,1,0,2,2,0,1,F,51,1996,SAINTE ROSE,Secondaire court,Sur le tas,100%,0.00%,0,1,1,11.00,0.20,0.00,0.00,4.00,6.00,0.00,LES DEUX,50%,1.00,0.20,0,0-25,2,0,0-25,0,0,1,1,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,MAINTIEN,MAINTIEN,4,3,2,1,1,1,0,1,1,0,0,NSP,25%,PAS DE CHANGEMENT,AUGMENTATION
BM103,BM,0,1,0,2,0,2,H,66,1972,SAINTE ROSE,Primaire,Sur le tas,0.00%,0.00%,0,0,1,2.00,0.50,0.00,0.00,0.70,0.00,0.00,TUTEUREE,100%,1.00,0.50,1,0-25,10,0,0-25,0,0,1,4,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,1,MAINTIEN,MAINTIEN,1,3,2,4,1,1,1,1,0,1,1,NSP,50%,PAS DE CHANGEMENT,PAS DE CHANGEMENT
BM104,BM,1,0,1,1,2,1,H,48,2011,PETIT BOURG,Secondaire long,BEPA,0.00%,100.00%,1,1,0,8.00,0.80,0.40,0.00,5.00,0.00,7.00,TUTEUREE,50%,1.40,0.70,1,0-25,10,0,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,1,0,1,AUGMENTATION,AUGMENTATION,3,1,2,4,1,1,1,1,1,1,1,1,100%,BAISSE,AUGMENTATION
BM105,BM,0,1,0,2,0,0,H,56,2001,ABYMES,Primaire,Sur le tas,100%,0.00%,1,0,0,10.00,0.25,0.00,0.00,0.00,0.00,3.00,TUTEUREE,30%,0.30,0.20,0,0-25,20,0,0-25,0,0,1,2,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,1,1,MAINTIEN,MAINTIEN,3,2,4,1,1,1,1,1,1,0,0,NSP,25%,DISPARITION,BAISSE
BM106,BM,0,1,0,2,0,2,H,60,1988,BAIE MAHAULT,Secondaire long,BTA,0.00%,100.00%,0,0,1,8.12,0.50,0.46,0.30,3.36,0.00,8.12,A PLAT,100%,2.50,1.00,0,75-100,10,0,0-25,1,0,0,1,AUTRES AGRICULTEURS,1,1,0,0,0,0,0,0,1,AUGMENTATION,NSP,1,3,4,2,1,1,1,1,1,0,0,1,100%,BAISSE,AUGMENTATION
BM107,BM,2,2,1,1,1,1,H,52,1997,TROIS RIVIERES,Secondaire court,Sur le tas,100%,0.00%,0,0,0,8.00,0.20,0.00,1.00,0.00,4.70,0.00,TUTEUREE,100%,1.00,0.20,0,75-100,21,0,25-50,1,0,1,2,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,AUGMENTATION,AUGMENTATION,4,1,2,3,1,1,1,1,1,1,1,1,50%,DISPARITION,PAS DE CHANGEMENT
